'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "vir, north course_prc"
Pole, "NotJames(01:36.8420)"
Lasted laps, "9"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "NotJames", "8", "01:36.8420", "-",
"2",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:37.1050", "00:00.2630",
"3",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "9", "01:37.2720", "00:00.4300",
"4",   "", "", "ks_mazda_mx5_cup", "maestro", "8", "01:37.5420", "00:00.7000",
"5",   "", "", "ks_mazda_mx5_cup", "gunciz", "9", "01:37.5730", "00:00.7310",
"6",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "9", "01:37.7930", "00:00.9510",
"7",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "9", "01:37.7950", "00:00.9530",
"8",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:37.9240", "00:01.0820",
"6 ", ks_mazda_mx5_cup, no,"0", "01:38.2800", "45.0630", "21.9960", "31.2210",  "F:H - R:H",     
Average,,,"01:47.0553", "53.3433", "21.9592", "31.7528"
Best possible,,, "01:37.9210", "45.0630", "21.6370", "31.2210"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"nemaides"
"1 ", ks_mazda_mx5_cup, no,"0", "02:15.4090", "81.7740", "21.7790", "31.8560",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:40.6210", "46.5000", "21.8610", "32.2600",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:39.3340", "45.5500", "22.4140", "31.3700",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:41.2020", "46.8100", "22.5680", "31.8240",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:39.3550", "45.6560", "21.9790", "31.7200",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:38.2630", "45.2840", "21.4430", "31.5360",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:38.3760", "45.3610", "21.7170", "31.2980",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:40.9440", "46.9300", "22.1810", "31.8330",  "F:H - R:H",     
Average,,,"01:44.1880", "50.4831", "21.9928", "31.7121"
Best possible,,, "01:38.0250", "45.2840", "21.4430", "31.2980"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Trempale"
"1 ", ks_mazda_mx5_cup, no,"0", "10:16.6570", "562.9320", "22.1040", "31.6210",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:39.0770", "45.1400", "22.1000", "31.8370",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:39.1280", "45.5160", "22.0850", "31.5270",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:38.3100", "44.8400", "22.2210", "31.2490",  "F:H - R:H",     
